rank,team,confederation,group,sci,squad_quality,xfactor,squad_depth,recent_form,squad_size
1,Spain,UEFA,H,68.75,75.09,77.32,60.56,50.0,26
2,France,UEFA,I,67.92,76.24,62.69,64.49,50.0,26
3,England,UEFA,K,67.59,73.4,72.64,62.46,50.0,26
4,Portugal,UEFA,J,67.58,74.93,71.41,59.52,50.0,27
5,Brazil,CONMEBOL,C,63.49,68.9,66.78,57.61,50.0,27
6,Germany,UEFA,E,62.4,68.23,64.34,55.65,50.0,24
7,Argentina,CONMEBOL,L,62.16,69.48,61.49,53.51,50.0,26
8,Belgium,UEFA,G,60.94,63.86,67.33,57.06,50.0,26
9,Türkiye,UEFA,D,60.09,64.34,72.69,47.59,50.0,26
10,Netherlands,UEFA,F,59.33,72.67,20.0,62.49,50.0,26
11,Norway,UEFA,I,57.18,62.86,59.75,46.42,50.0,25
12,Senegal,CAF,H,56.64,61.9,60.71,45.4,50.0,23
13,Morocco,CAF,C,56.23,59.99,59.94,48.69,50.0,26
14,Austria,UEFA,I,56.22,59.05,61.67,49.71,50.0,26
15,Colombia,CONMEBOL,J,55.49,61.42,59.42,41.85,50.0,25
16,United States,CONCACAF,D,54.05,65.13,20.0,54.91,50.0,27
17,Ghana,CAF,K,53.63,58.47,57.4,41.41,50.0,26
18,Paraguay,CONMEBOL,D,52.57,53.9,68.78,39.0,50.0,24
19,Switzerland,UEFA,B,51.48,61.4,20.0,51.4,50.0,26
20,Japan,AFC,F,51.02,60.98,20.0,50.17,50.0,25
21,Uruguay,CONMEBOL,L,50.82,60.51,20.0,50.35,50.0,25
22,Croatia,UEFA,K,50.58,60.49,20.0,49.16,50.0,26
23,Canada,CONCACAF,B,49.62,60.28,20.0,44.88,50.0,23
24,Ivory Coast,CAF,E,49.47,59.16,20.0,46.95,50.0,26
25,Scotland,UEFA,C,48.37,57.99,20.0,44.4,50.0,27
26,Australia,AFC,D,48.3,48.61,55.19,41.07,50.0,26
27,Sweden,UEFA,F,47.65,59.1,20.0,38.01,50.0,25
28,Ecuador,CONMEBOL,E,47.5,57.46,20.0,41.36,50.0,23
29,Czechia,UEFA,A,46.76,55.61,20.0,42.29,50.0,24
30,Algeria,CAF,I,43.22,50.66,20.0,36.93,50.0,23
31,Egypt,CAF,G,43.22,50.32,20.0,37.76,50.0,25
32,Tunisia,CAF,F,42.23,48.1,20.0,38.42,50.0,26
33,Bosnia and Herzegovina,UEFA,B,41.57,48.31,20.0,34.55,50.0,24
34,Iran,AFC,K,41.57,47.49,20.0,36.63,50.0,24
35,Saudi Arabia,AFC,G,41.11,47.12,20.0,35.25,50.0,26
36,South Korea,AFC,A,40.27,42.26,20.0,43.21,50.0,25
37,Cape Verde,CAF,G,40.11,45.58,20.0,34.11,50.0,24
38,DR Congo,CAF,J,39.78,45.6,20.0,32.42,50.0,23
39,South Africa,CAF,A,38.7,42.1,20.0,35.77,50.0,25
40,Uzbekistan,AFC,J,38.33,41.42,20.0,35.6,50.0,24
41,Curaçao,CONCACAF,E,38.25,43.43,20.0,30.17,50.0,22
42,New Zealand,AFC,H,37.97,42.53,20.0,31.03,50.0,25
43,Panama,CONCACAF,L,37.18,40.11,20.0,33.15,50.0,26
44,Mexico,CONCACAF,A,37.17,42.86,20.0,26.17,50.0,25
45,Iraq,AFC,L,37.07,39.69,20.0,33.61,50.0,26
46,Qatar,AFC,B,36.67,38.47,20.0,34.66,50.0,23
47,Haiti,CONCACAF,C,36.12,39.6,20.0,29.1,50.0,22
48,Jordan,AFC,H,35.23,35.69,20.0,34.4,50.0,24
